Tipo,Habitaciones,Ba�os,Area,Barrio,Valor
Apartamento,2,2,91,El Batán,445000000
Apartamento,1,2,42,Usaquén,357000000
Apartamento,1,2,61,Bella Suiza,465000000
Apartamento,3,2,59,Tintala,164000000
Casa,3,2,89,Zona Noroccidental,300000000
Apartamento,3,3,85,Mazuren,406000000
Apartamento,4,4,261,Usaquén,1700000000
Apartamento,2,3,109,Usaquén,570000000
Casa,3,3,110,La Uribe,460000000
Apartamento,3,3,157,Usaquén,960000000
Apartamento,2,2,81,Santa Barbara,510000000
Apartamento,1,2,69,Usaquén,520000000
Apartamento,2,1,36,Zona Noroccidental,142000000
Apartamento,3,2,172,Santa Fe,750000000
Apartamento,2,1,50,Rafael Uribe Uribe,160000000
Casa,3,3,110,La Uribe,445000000
Apartamento,2,2,74,Usaquén,570000000
Apartamento,3,2,70,Engativa,319981523
Apartamento,3,3,114,Santa Barbara,510000000
Apartamento,1,2,58,El Contador,380000000
Apartamento,3,1,47,Bosa,134000000
Apartamento,1,1,29,Kennedy,120000000
Apartamento,3,2,93,Usaquén,460000000
Casa,3,3,131,La Uribe,560000000
Apartamento,2,2,59,Cedritos,351000000
Apartamento,2,3,198,Kennedy,1390000000
Apartamento,2,2,60,Usaquén,422000000
Apartamento,3,2,78,Fontibón,260000000
Apartamento,2,2,95,Chico Norte,980000000
Apartamento,2,1,42,Kennedy,116100000
Apartamento,2,2,95,Chico Norte,980000000
Apartamento,3,2,54,Kennedy,237000000
Apartamento,3,2,67,Kennedy,320000000
Apartamento,4,4,132,Cedritos,530000000
Apartamento,3,3,108,Cedritos,503000000
Apartamento,2,1,42,Bosa,117000000
Apartamento,3,3,166,Chico Reservado,1300000000
Apartamento,1,2,49,Chico Reservado,477000000
Apartamento,4,4,100,Cedritos,450000000
Apartamento,2,2,81,Cedritos,515000000
Apartamento,3,3,146,Cedritos,730000000
Apartamento,2,3,93,Cedritos,600000000
Apartamento,4,2,97,Santa Barbara,480000000
Apartamento,3,2,92,Ciudad Salitre,560000000
Apartamento,1,2,48,Cedritos,308000000
Apartamento,1,2,55,Cedritos,365000000
Casa,5,4,278,Las Villas,1200000000
Apartamento,1,1,51,Los Rosales,371000000
Casa,4,3,148,Zona Noroccidental,850000000
Apartamento,1,2,61,Bella Suiza,428000000
Apartamento,1,2,61,Bella Suiza,421000000
Apartamento,3,3,127,Bella Suiza,650000000
Apartamento,3,2,68,Kennedy,295000000
Apartamento,3,1,47,Tintala,144000000
Apartamento,3,2,70,Cedritos,280000000
Apartamento,3,2,54,Tintala,162000000
Apartamento,3,3,86,Cedritos,620000000
Apartamento,3,3,118,Santa Barbara,1200000000
Apartamento,3,2,88,Mazuren,360000000
Local,2,2,74,Chapinero,350000000
Apartamento,3,3,127,Bella Suiza,650000000
Apartamento,3,2,92,Ciudad Salitre,560000000
Apartamento,3,2,68,Kennedy,295000000
Apartamento,3,2,75,Engativa,413500000
Apartamento,3,4,248,La Calleja,1200000000
Apartamento,2,1,53,Cedritos,370000000
Apartamento,3,2,90,Ciudad Salitre,600000000
Apartamento,3,2,83,Fontibón,390000000
Apartamento,2,2,75,El Batán,447500000
Apartamento,2,1,56,Bosa,132000000
Apartamento,3,2,59,Chapinero Central,180000000
Apartamento,1,1,43,El Batán,285000000
Apartamento,3,2,97,La Uribe,620000000
Apartamento,2,2,69,Usaquén,400000000
Apartamento,3,4,174,La Calleja,1380000000
Apartamento,1,2,54,Zona Noroccidental,335238800
Apartamento,2,3,92,Santa Barbara,820000000
Apartamento,1,1,46,Los Rosales,545000000
Apartamento,3,2,48,Fontibón,217000000
Apartamento,3,3,95,Engativa,495000000
Casa,3,2,66,Engativa,330000000
Apartamento,3,3,116,El Chicó,570000000
Apartamento,2,2,60,Engativa,280000000
Apartamento,4,5,300,Chapinero,2000000000
Casa,3,2,80,Hayuelos,390000000
Apartamento,3,2,58,Zona Noroccidental,311000000
Bodega,3,2,68,Puente Aranda,164000000
Apartamento,3,3,114,Santa Barbara,510000000
Apartamento,2,2,70,Cedritos,319000000
Apartamento,3,3,114,Santa Barbara,510000000
Apartamento,1,2,50,Teusaquillo,303960000
Apartamento,2,2,60,Zona Noroccidental,387000000
Apartamento,2,3,75,Zona Noroccidental,390000000
Apartamento,3,2,65,Kennedy,315000000
Apartamento,3,2,59,Los Mártires,245000000
Apartamento,2,1,42,Bosa,136000000
Apartamento,3,2,45,Tintala,151000000
Apartamento,3,1,47,Bogotá DC,129500000
Apartamento,2,1,38,Kennedy,150000000
Apartamento,3,3,109,Mazuren,360000000
Apartamento,3,1,45,Bosa,141000000
Apartamento,2,2,53,Cedritos,371000000
Apartamento,3,2,60,Fontibón,272000000
Apartamento,2,1,43,Bosa,113000000
Apartamento,3,2,54,Castilla,237000000
Apartamento,2,1,48,Antonio Nariño,122000000
Apartamento,3,2,59,Tintala,243000000
Apartamento,1,2,50,Santa Fe,420000000
Apartamento,3,1,43,Bosa,125000000
Apartamento,3,1,47,Kennedy,134000000
Apartamento,3,1,51,Kennedy,177000000
Apartamento,3,2,46,Teusaquillo,116000000
Casa,4,4,340,Teusaquillo,930000000
Apartamento,4,2,88,Tintala,390000000
Apartamento,2,3,95,Marly,490000000
Apartamento,2,2,58,Santa Barbara,449964000
Apartamento,3,2,110,Santa Barbara,650000000
Apartamento,2,2,80,Chapinero,420000000
Casa,5,4,142,Normandia,600000000
Casa,3,3,150,El Batán,800000000
Apartamento,3,1,47,Kennedy,134000000
Apartamento,2,2,57,Usaquén,298000000
Apartamento,3,2,71,Cedritos,315000000
Apartamento,3,2,54,Tintala,162000000
Casa,12,3,420,Nicolas De Federman,2570000000
Apartamento,1,2,66,Santa Barbara,375000000
Apartamento,2,2,67,El Batán,400000000
Apartamento,2,2,63,Cedritos,330000000
Apartamento,2,2,75,Chapinero,447500000
Apartamento,3,1,60,Zona Noroccidental,167500000
